sıska sıska+ADJ
sıskasılık sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+NOM^DB+ADJ+FITFOR
sıskasıyım sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+A1SG
sıskasısın sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+A2SG
sıskasıyız sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+A1PL
sıskasılar sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+A3PL
sıskasıya sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+DAT
sıskasıda sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+LOC
sıskasıdan sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+ABL
sıskasının sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+GEN
sıskasıyla sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+INS
sıskasım sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+P1SG+NOM
sıskasımım sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+P1SG+NOM^DB+VERB+ZERO+PRES+A1SG
sıskasıma sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+P1SG+DAT
sıskasımda sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+P1SG+LOC
sıskasımın sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+P1SG+GEN
sıskasımla sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+P1SG+INS
sıskasın sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+P2SG+NOM
sıskasınım sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+P2SG+NOM^DB+VERB+ZERO+PRES+A1SG
sıskasına sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+P2SG+DAT
sıskasında sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+P2SG+LOC
sıskasının sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+P2SG+GEN
sıskasınla sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+P2SG+INS
sıskasımız sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+P1PL+NOM
sıskasınız sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+P2PL+NOM
sıskasısı sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+P3SG+NOM
sıskasılar sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3PL+PNON+NOM
sıskasıcı sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+AGT+A3SG+PNON+NOM
sıskasıcım sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+AGT+A3SG+P1SG+NOM
sıskasıcın sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+AGT+A3SG+P2SG+NOM
sıskasılık sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+NESS+A3SG+PNON+NOM
sıskalaşma sıska+ADJ^DB+VERB+BECOME+NEG+IMP+A2SG
sıskalaşır sıska+ADJ^DB+VERB+BECOME+POS+AOR+A3SG
sıskalaşar sıska+ADJ^DB+VERB+BECOME+POS+AOR+A3SG
sıskalaşa sıska+ADJ^DB+VERB+BECOME+POS+OPT+A3SG
sıskalaş sıska+ADJ^DB+VERB+BECOME+POS+IMP+A2SG
sıskalaşın sıska+ADJ^DB+VERB+BECOME+POS+IMP+A2PL
sıskalaştı sıska+ADJ^DB+VERB+BECOME+POS+PAST+A3SG
sıskalaşsa sıska+ADJ^DB+VERB+BECOME+POS+DESR+A3SG
sıskalaşsa sıska+ADJ^DB+VERB+BECOME+POS+COND+A3SG
sıskalanma sıska+ADJ^DB+VERB+ACQUIRE+NEG+IMP+A2SG
sıskalanır sıska+ADJ^DB+VERB+ACQUIRE+POS+AOR+A3SG
sıskalanar sıska+ADJ^DB+VERB+ACQUIRE+POS+AOR+A3SG
sıskalana sıska+ADJ^DB+VERB+ACQUIRE+POS+OPT+A3SG
sıskalan sıska+ADJ^DB+VERB+ACQUIRE+POS+IMP+A2SG
sıskalanın sıska+ADJ^DB+VERB+ACQUIRE+POS+IMP+A2PL
sıskalandı sıska+ADJ^DB+VERB+ACQUIRE+POS+PAST+A3SG
sıskalansa sıska+ADJ^DB+VERB+ACQUIRE+POS+DESR+A3SG
sıskalansa sıska+ADJ^DB+VERB+ACQUIRE+POS+COND+A3SG
sıskadaki sıska+ADJ^DB+NOUN+ZERO+A3SG+PNON+LOC^DB+ADJ+REL
sıskanınki sıska+ADJ^DB+NOUN+ZERO+A3SG+PNON+GEN^DB+ADJ+REL
sıskammış sıska+ADJ^DB+NOUN+ZERO+A3SG+P1SG+NOM^DB+VERB+ZERO+NARR+A3SG
sıskamdaki sıska+ADJ^DB+NOUN+ZERO+A3SG+P1SG+LOC^DB+ADJ+REL
sıskamınki sıska+ADJ^DB+NOUN+ZERO+A3SG+P1SG+GEN^DB+ADJ+REL
sıskanmış sıska+ADJ^DB+NOUN+ZERO+A3SG+P2SG+NOM^DB+VERB+ZERO+NARR+A3SG
sıskandaki sıska+ADJ^DB+NOUN+ZERO+A3SG+P2SG+LOC^DB+ADJ+REL
sıskanınki sıska+ADJ^DB+NOUN+ZERO+A3SG+P2SG+GEN^DB+ADJ+REL
sıskacılaş sıska+ADJ^DB+NOUN+AGT+A3SG+PNON+NOM^DB+VERB+BECOME+POS+IMP+A2SG
sıskacılan sıska+ADJ^DB+NOUN+AGT+A3SG+PNON+NOM^DB+VERB+ACQUIRE+POS+IMP+A2SG
sıskacıki sıska+ADJ^DB+NOUN+AGT+A3SG+PNON+NOM^DB+ADJ+REL^DB+NOUN+ZERO+A3SG+PNON+NOM
sıskacıkim sıska+ADJ^DB+NOUN+AGT+A3SG+PNON+NOM^DB+ADJ+REL^DB+NOUN+ZERO+A3SG+P1SG+NOM
sıskacıkin sıska+ADJ^DB+NOUN+AGT+A3SG+PNON+NOM^DB+ADJ+REL^DB+NOUN+ZERO+A3SG+P2SG+NOM
sıskacıkü sıska+ADJ^DB+NOUN+AGT+A3SG+PNON+NOM^DB+ADJ+REL^DB+NOUN+ZERO+A3SG+PNON+NOM
sıskacıküm sıska+ADJ^DB+NOUN+AGT+A3SG+PNON+NOM^DB+ADJ+REL^DB+NOUN+ZERO+A3SG+P1SG+NOM
sıskacıkün sıska+ADJ^DB+NOUN+AGT+A3SG+PNON+NOM^DB+ADJ+REL^DB+NOUN+ZERO+A3SG+P2SG+NOM
sıskalıkki sıska+ADJ^DB+NOUN+NESS+A3SG+PNON+NOM^DB+ADJ+REL^DB+NOUN+ZERO+A3SG+PNON+NOM
sıskalıkkü sıska+ADJ^DB+NOUN+NESS+A3SG+PNON+NOM^DB+ADJ+REL^DB+NOUN+ZERO+A3SG+PNON+NOM
sıskasıcık sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+NOM^DB+NOUN+DIM+A3SG+PNON+NOM
sıskasıydı sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+NOM^DB+VERB+ZERO+PAST+A3SG
sıskasıysa sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+NOM^DB+VERB+ZERO+COND+A3SG
sıskasıdır sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+COP+A3SG
sıskasımdı sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+P1SG+NOM^DB+VERB+ZERO+PAST+A3SG
sıskasımsa sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+P1SG+NOM^DB+VERB+ZERO+COND+A3SG
sıskasındı sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+P2SG+NOM^DB+VERB+ZERO+PAST+A3SG
sıskasınsa sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+P2SG+NOM^DB+VERB+ZERO+COND+A3SG
sıskasılaş sıska+ADJ^DB+ADJ+JUSTLIKE^DB+VERB+BECOME+POS+IMP+A2SG
sıskasılan sıska+ADJ^DB+ADJ+JUSTLIKE^DB+VERB+ACQUIRE+POS+IMP+A2SG
sıskalaşış sıska+ADJ^DB+VERB+BECOME+RECIP+POS+IMP+A2SG
sıskalaşıl sıska+ADJ^DB+VERB+BECOME^DB+VERB+PASS+POS+IMP+A2SG
sıskalanış sıska+ADJ^DB+VERB+ACQUIRE+RECIP+POS+IMP+A2SG
sıskalanıl sıska+ADJ^DB+VERB+ACQUIRE^DB+VERB+PASS+POS+IMP+A2SG
sıskacılım sıska+ADJ^DB+NOUN+AGT+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+P1SG+NOM
sıskacılın sıska+ADJ^DB+NOUN+AGT+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+P2SG+NOM
sıskasılaş sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+NOM^DB+VERB+BECOME+POS+IMP+A2SG
sıskasılan sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+NOM^DB+VERB+ACQUIRE+POS+IMP+A2SG
sıskasıki sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+NOM^DB+ADJ+REL^DB+NOUN+ZERO+A3SG+PNON+NOM
sıskasıkim sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+NOM^DB+ADJ+REL^DB+NOUN+ZERO+A3SG+P1SG+NOM
sıskasıkin sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+NOM^DB+ADJ+REL^DB+NOUN+ZERO+A3SG+P2SG+NOM
sıskasıkü sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+NOM^DB+ADJ+REL^DB+NOUN+ZERO+A3SG+PNON+NOM
sıskasıküm sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+NOM^DB+ADJ+REL^DB+NOUN+ZERO+A3SG+P1SG+NOM
sıskasıkün sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+NOM^DB+ADJ+REL^DB+NOUN+ZERO+A3SG+P2SG+NOM
sıskasılım sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+P1SG+NOM
sıskasılın sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+P2SG+NOM
sıskalaşma sıska+ADJ^DB+VERB+BECOME+POS^DB+NOUN+INF2+A3SG+PNON+NOM
sıskalaşış sıska+ADJ^DB+VERB+BECOME+POS^DB+NOUN+INF3+A3SG+PNON+NOM
sıskalanma sıska+ADJ^DB+VERB+ACQUIRE+POS^DB+NOUN+INF2+A3SG+PNON+NOM
sıskalanış sıska+ADJ^DB+VERB+ACQUIRE+POS^DB+NOUN+INF3+A3SG+PNON+NOM
sıskadaki sıska+ADJ^DB+NOUN+ZERO+A3SG+PNON+LOC^DB+ADJ+REL^DB+NOUN+ZERO+A3SG+PNON+NOM
sıskadakim sıska+ADJ^DB+NOUN+ZERO+A3SG+PNON+LOC^DB+ADJ+REL^DB+NOUN+ZERO+A3SG+P1SG+NOM
sıskadakin sıska+ADJ^DB+NOUN+ZERO+A3SG+PNON+LOC^DB+ADJ+REL^DB+NOUN+ZERO+A3SG+P2SG+NOM
sıskanınki sıska+ADJ^DB+NOUN+ZERO+A3SG+PNON+GEN^DB+ADJ+REL^DB+NOUN+ZERO+A3SG+PNON+NOM
sıskamdaki sıska+ADJ^DB+NOUN+ZERO+A3SG+P1SG+LOC^DB+ADJ+REL^DB+NOUN+ZERO+A3SG+PNON+NOM
sıskamınki sıska+ADJ^DB+NOUN+ZERO+A3SG+P1SG+GEN^DB+ADJ+REL^DB+NOUN+ZERO+A3SG+PNON+NOM
sıskandaki sıska+ADJ^DB+NOUN+ZERO+A3SG+P2SG+LOC^DB+ADJ+REL^DB+NOUN+ZERO+A3SG+PNON+NOM
sıskanınki sıska+ADJ^DB+NOUN+ZERO+A3SG+P2SG+GEN^DB+ADJ+REL^DB+NOUN+ZERO+A3SG+PNON+NOM
